time_or_frame,value
0,281
0,327
0,328
0,166
0.000227,330
0.000227,139
0.000403,334
0.000403,342
0.000403,164
0.000623,371
0.000623,359
0.000623,363
0.000623,160
0.000832,390
0.000832,165
0.001058,367
0.001058,370
0.001058,157
0.001261,380
0.001261,376
0.001261,365
0.001261,192
0.001522,396
0.001522,383
0.001522,387
0.001522,201
0.001789,412
0.001789,392
0.001789,157
0.001988,407
0.001988,378
0.001988,386
0.001988,173
0.002213,407
0.002213,375
0.002213,384
0.002213,170
0.00243,411
0.00243,375
0.00243,379
0.00243,163
0.002634,395
0.002634,372
0.002634,373
0.002634,157
0.002828,391
0.002828,373
0.002828,375
0.002828,168
0.00304,388
0.00304,371
0.00304,376
0.00304,151
0.003244,372
0.003244,370
0.003244,357
0.003244,145
0.003428,375
0.003428,358
0.003428,356
0.003428,198
0.003721,357
0.003721,367
0.003721,176
0.003976,355
0.003976,354
0.003976,355
0.003976,341
0.003976,168
0.004265,350
0.004265,342
0.004265,349
0.004265,338
0.004265,126
0.004464,344
0.004464,339
0.004464,346
0.004464,157
0.004748,341
0.004748,332
0.004748,160
0.005017,327
0.005017,330
0.005017,327
0.005017,136
0.005233,345
0.005233,347
0.005233,355
0.005233,346
0.005233,151
0.00546,347
0.00546,333
0.00546,328
0.00546,349
0.00546,110
0.00564,372
0.00564,314
0.00564,321
0.00564,347
0.00564,123
0.005825,363
0.005825,351
0.005825,345
0.005825,338
0.005825,354
0.005825,110
0.006003,366
0.006003,335
0.006003,323
0.006003,341
0.006003,328
0.006003,164
0.006305,324
0.006305,329
0.006305,338
0.006305,328
0.006305,338
0.006305,337
0.006305,141
0.006515,327
0.006515,302
0.006515,306
0.006515,316
0.006515,147
0.006752,329
0.006752,313
0.006752,317
0.006752,351
0.006752,313
0.006752,175
0.007039,320
0.007039,315
0.007039,315
0.007039,311
0.007039,353
0.007039,113
0.007221,341
0.007221,335
0.007221,320
0.007221,307
0.007221,337
0.007221,301
0.007221,172
0.007536,321
0.007536,309
0.007536,351
0.007536,305
0.007536,138
0.007756,317
0.007756,115
0.007935,301
0.007935,304
0.007935,329
0.007935,304
0.007935,164
0.008223,315
0.008223,308
0.008223,325
0.008223,308
0.008223,336
0.008223,118
0.008412,364
0.008412,316
0.008412,343
0.008412,301
0.008412,153
0.008633,318
0.008633,326
0.008633,302
0.008633,320
0.008633,305
0.008633,175
0.008867,309
0.008867,301
0.008867,325
0.008867,297
0.008867,166
0.009078,313
0.009078,302
0.009078,312
0.009078,300
0.009078,147
0.009258,311
0.009258,310
0.009258,301
0.009258,303
0.009258,123
0.009443,328
0.009443,320
0.009443,303
0.009443,309
0.009443,311
0.009443,134
0.009634,326
0.009634,303
0.009634,297
0.009634,295
0.009634,168
0.009847,315
0.009847,299
0.009847,297
0.009847,304
0.009847,304
0.009847,160
0.0101,308
0.0101,308
0.0101,312
0.0101,311
0.0101,303
0.0101,149
0.010302,312
0.010302,311
0.010302,306
0.010302,325
0.010302,306
0.010302,138
0.010506,318
0.010506,299
0.010506,302
0.010506,304
0.010506,310
0.010506,139
0.0107,333
0.0107,329
0.0107,309
0.0107,344
0.0107,305
0.0107,174
0.010967,313
0.010967,308
0.010967,301
0.010967,301
0.010967,129
0.011142,343
0.011142,324
0.011142,311
0.011142,315
0.011142,141
0.011382,315
0.011382,313
0.011382,310
0.011382,310
0.011382,311
0.011382,120
0.011561,333
0.011561,378
0.011561,311
0.011561,311
0.011561,317
0.011561,363
0.011561,156
0.011807,324
0.011807,320
0.011807,311
0.011807,311
0.011807,315
0.011807,313
0.011807,137
0.012008,361
0.012008,418
0.012008,312
0.012008,312
0.012008,157
0.012188,347
0.012188,314
0.012188,318
0.012188,308
0.012188,308
0.012188,160
0.012382,321
0.012382,311
0.012382,366
0.012382,311
0.012382,363
0.012382,326
0.012382,358
0.012382,181
0.012684,318
0.012684,316
0.012684,305
0.012684,311
0.012684,308
0.012684,135
0.012873,360
0.012873,326
0.012873,296
0.012873,303
0.012873,145
0.013051,352
0.013051,324
0.013051,327
0.013051,334
0.013051,309
0.013051,188
0.013325,309
0.013325,309
0.013325,303
0.013325,303
0.013325,155
0.013525,351
0.013525,334
0.013525,313
0.013525,332
0.013525,336
0.013525,305
0.013525,167
0.0138,309
0.0138,306
0.0138,133
0.014,314
0.014,326
0.014,331
0.014,308
0.014,329
0.014,136
0.014189,368
0.014189,314
0.014189,307
0.014189,303
0.014189,135
0.014371,351
0.014371,348
0.014371,315
0.014371,182
0.01459,306
0.01459,307
0.01459,327
0.01459,314
0.01459,152
0.014797,309
0.014797,339
0.014797,303
0.014797,306
0.014797,311
0.014797,318
0.014797,195
0.015058,312
0.015058,317
0.015058,304
0.015058,306
0.015058,309
0.015058,147
0.015259,330
0.015259,351
0.015259,308
0.015259,338
0.015259,309
0.015259,324
0.015259,132
0.015438,315
0.015438,318
0.015438,314
0.015438,334
0.015438,350
0.015438,311
0.015438,133
0.015628,343
0.015628,331
0.015628,313
0.015628,335
0.015628,308
0.015628,130
0.015815,363
0.015815,333
0.015815,362
0.015815,309
0.015815,304
0.015815,308
0.015815,221
0.016091,314
0.016091,317
0.016091,324
0.016091,327
0.016091,334
0.016091,308
0.016091,208
0.016355,317
0.016355,341
0.016355,316
0.016355,312
0.016355,318
0.016355,317
0.016355,134
0.016542,323
0.016542,333
0.016542,307
0.016542,315
0.016542,310
0.016542,166
0.016778,314
0.016778,314
0.016778,314
0.016778,325
0.016778,309
0.016778,132
0.016957,309
0.016957,341
0.016957,311
0.016957,307
0.016957,307
0.016957,148
0.01714,308
0.01714,352
0.01714,315
0.01714,318
0.01714,314
0.01714,309
0.01714,154
0.017329,325
0.017329,326
0.017329,315
0.017329,311
0.017329,315
0.017329,310
0.017329,317
0.017329,136
0.017509,356
0.017509,338
0.017509,321
0.017509,319
0.017509,323
0.017509,311
0.017509,314
0.017509,142
0.017695,368
0.017695,327
0.017695,352
0.017695,331
0.017695,341
0.017695,317
0.017695,155
0.017897,322
0.017897,325
0.017897,320
0.017897,326
0.017897,320
0.017897,324
0.017897,321
0.017897,153
0.018107,323
0.018107,339
0.018107,322
0.018107,321
0.018107,314
0.018107,159
0.018298,316
0.018298,324
0.018298,327
0.018298,330
0.018298,320
0.018298,319
0.018298,322
0.018298,321
0.018298,404
0.018298,229
0.018482,356
0.018482,348
0.018482,326
0.018482,317
0.018482,358
0.018482,329
0.018482,169
0.018702,325
0.018702,322
0.018702,329
0.018702,323
0.018702,322
0.018702,321
0.018702,141
0.018887,322
0.018887,329
0.018887,323
0.018887,346
0.018887,327
0.018887,152
0.019086,324
0.019086,332
0.019086,334
0.019086,328
0.019086,333
0.019086,322
0.019086,146
0.019268,327
0.019268,324
0.019268,322
0.019268,324
0.019268,325
0.019268,328
0.019268,349
0.019268,330
0.019268,156
0.01945,348
0.01945,335
0.01945,327
0.01945,328
0.01945,387
0.01945,504
0.01945,571
0.01945,633
0.01945,648
0.01945,647
0.01945,602
0.01945,584
0.01945,559
0.01945,531
0.01945,464
0.01945,178
0.01963,356
0.01963,352
0.01963,341
0.01963,318
0.01963,340
0.01963,325
0.01963,195
0.019883,341
0.019883,340
0.019883,342
0.019883,331
0.019883,339
0.019883,334
0.019883,155
0.020074,353
0.020074,330
0.020074,340
0.020074,342
0.020074,334
0.020074,159
0.020283,334
0.020283,333
0.020283,366
0.020283,334
0.020283,329
0.020283,336
0.020283,212
0.02048,337
0.02048,333
0.02048,340
0.02048,341
0.02048,335
0.02048,358
0.02048,138
0.020658,336
0.020658,346
0.020658,333
0.020658,337
0.020658,330
0.020658,333
0.020658,173
0.020836,338
0.020836,335
0.020836,328
0.020836,335
0.020836,333
0.020836,373
0.020836,330
0.020836,168
0.021022,342
0.021022,349
0.021022,325
0.021022,334
0.021022,343
0.021022,333
0.021022,179
0.021245,334
0.021245,337
0.021245,328
0.021245,327
0.021245,338
0.021245,347
0.021245,334
0.021245,193
0.021442,334
0.021442,338
0.021442,359
0.021442,331
0.021442,333
0.021442,336
0.021442,354
0.021442,351
0.021442,338
0.021442,244
0.021676,335
0.021676,337
0.021676,379
0.021676,334
0.021676,336
0.021676,341
0.021676,338
0.021676,336
0.021676,256
0.021914,341
0.021914,343
0.021914,339
0.021914,338
0.021914,371
0.021914,339
0.021914,158
0.02211,335
0.02211,341
0.02211,336
0.02211,334
0.02211,365
0.02211,337
0.02211,354
0.02211,336
0.02211,157
0.022292,366
0.022292,349
0.022292,419
0.022292,338
0.022292,340
0.022292,356
0.022292,337
0.022292,160
0.02248,345
0.02248,322
0.02248,332
0.02248,340
0.02248,358
0.02248,336
0.02248,174
0.022661,337
0.022661,339
0.022661,360
0.022661,339
0.022661,414
0.022661,329
0.022661,327
0.022661,387
0.022661,335
0.022661,193
0.022854,342
0.022854,359
0.022854,340
0.022854,336
0.022854,330
0.022854,378
0.022854,349
0.022854,190
0.023089,339
0.023089,336
0.023089,346
0.023089,343
0.023089,360
0.023089,338
0.023089,355
0.023089,380
0.023089,231
0.023309,340
0.023309,348
0.023309,360
0.023309,400
0.023309,340
0.023309,333
0.023309,331
0.023309,351
0.023309,336
0.023309,165
0.023501,338
0.023501,351
0.023501,360
0.023501,368
0.023501,355
0.023501,220
0.023701,346
0.023701,336
0.023701,344
0.023701,339
0.023701,383
0.023701,366
0.023701,337
0.023701,358
0.023701,361
0.023701,343
0.023701,372
0.023701,343
0.023701,292
0.023993,352
0.023993,339
0.023993,368
0.023993,360
0.023993,381
0.023993,357
0.023993,389
0.023993,277
0.024265,344
0.024265,335
0.024265,398
0.024265,357
0.024265,344
0.024265,338
0.024265,380
0.024265,310
0.024548,344
0.024548,344
0.024548,395
0.024548,359
0.024548,337
0.024548,389
0.024548,373
0.024548,358
0.024548,150
0.024724,333
0.024724,342
0.024724,339
0.024724,419
0.024724,369
0.024724,444
0.024724,514
0.024724,194
0.024903,329
0.024903,338
0.024903,347
0.024903,383
0.024903,338
0.024903,329
0.024903,332
0.024903,330
0.024903,339
0.024903,337
0.024903,149
0.025091,346
0.025091,335
0.025091,383
0.025091,393
0.025091,329
0.025091,335
0.025091,371
0.025091,332
0.025091,346
0.025091,371
0.025091,340
0.025091,399
0.025091,164
0.025288,365
0.025288,349
0.025288,392
0.025288,204
0.025497,324
0.025497,325
0.025497,352
0.025497,427
0.025497,349
0.025497,358
0.025497,382
0.025497,413
0.025497,500
0.025497,346
0.025497,355
0.025497,332
0.025497,394
0.025497,362
0.025497,382
0.025497,159
0.025676,398
0.025676,517
0.025676,423
0.025676,480
0.025676,338
0.025676,327
0.025676,371
0.025676,396
0.025676,551
0.025676,153
0.025856,332
0.025856,451
0.025856,571
0.025856,349
0.025856,352
0.025856,329
0.025856,334
0.025856,460
0.025856,449
0.025856,567
0.025856,384
0.025856,536
0.025856,566
0.025856,539
0.025856,604
0.025856,155
0.026042,383
0.026042,472
0.026042,330
0.026042,355
0.026042,397
0.026042,366
0.026042,464
0.026042,340
0.026042,318
0.026042,356
