frame,value
0,1
0,1
0,2
0,2
0,2
0,2
0,2
0.002689,1
0.002689,3
0.002689,3
0.002689,3
0.002689,2
0.002689,2
0.002689,2
0.002689,2
0.002689,2
0.002689,2
0.005686,1
0.005686,3
0.005686,2
0.005686,2
0.005686,2
0.005686,2
0.005686,2
0.005686,2
0.005686,2
0.005686,2
0.005686,2
0.008322,1
0.008322,2
0.008322,2
0.008322,2
0.008322,2
0.008322,2
0.008322,2
0.01086,1
0.01086,2
0.01086,2
0.01086,2
0.01086,2
0.01086,2
0.01086,2
0.01086,2
0.01086,2
0.013459,1
0.013459,2
0.013459,2
0.013459,2
0.013459,2
0.013459,2
0.013459,2
0.013459,2
0.016277,1
0.016277,2
0.016277,2
0.016277,2
0.016277,2
0.016277,2
0.016277,2
0.018826,1
0.018826,2
0.018826,2
0.018826,2
0.018826,2
0.018826,2
0.02152,1
0.02152,2
0.02152,2
0.02152,2
0.02152,2
0.02152,2
0.02152,2
0.024055,1
0.024055,2
0.024055,2
0.024055,2
0.024055,2
0.024055,2
0.024055,2
0.027266,2
0.027266,2
0.027266,2
0.027266,2
0.027266,2
0.027266,2
0.030394,2
0.030394,2
0.030394,2
0.030394,2
0.030394,2
0.030394,2
0.032995,1
0.032995,2
0.032995,2
0.032995,2
0.032995,2
0.032995,2
0.035564,1
0.035564,2
0.035564,2
0.035564,2
0.035564,2
0.038128,2
0.038128,2
0.038128,2
0.038128,2
0.038128,2
0.038128,2
0.040687,1
0.040687,2
0.040687,2
0.040687,2
0.040687,2
0.040687,2
0.0432,2
0.0432,2
0.0432,2
0.0432,2
0.0432,2
0.046159,2
0.046159,2
0.046159,2
0.046159,2
0.048812,2
0.048812,2
0.048812,2
0.048812,2
0.05189,2
0.05189,2
0.05189,2
0.05189,2
0.05189,2
0.05189,2
0.055412,2
0.055412,2
0.055412,2
0.055412,2
0.055412,2
0.055412,2
0.05812,2
0.05812,2
0.05812,2
0.05812,2
0.05812,2
0.061297,2
0.061297,2
0.061297,2
0.061297,2
0.061297,2
0.064367,2
0.064367,2
0.064367,2
0.064367,2
0.067288,2
0.067288,2
0.067288,2
0.067288,2
0.067288,2
0.070421,2
0.070421,2
0.070421,2
0.070421,2
0.070421,2
0.070421,2
0.070421,2
0.07315,2
0.07315,2
0.07315,2
0.07315,2
0.07315,2
0.075847,2
0.075847,2
0.075847,2
0.075847,2
0.075847,2
0.075847,2
0.078604,2
0.078604,2
0.078604,2
0.078604,2
0.078604,2
0.078604,2
0.081875,2
0.081875,2
0.081875,2
0.081875,2
0.081875,3
0.081875,2
0.081875,3
0.081875,3
0.084453,2
0.084453,3
0.084453,3
0.084453,3
0.084453,3
0.084453,3
0.084453,3
0.087166,2
0.087166,3
0.087166,3
0.087166,3
0.087166,3
0.087166,3
0.087166,3
0.087166,3
0.089859,2
0.089859,3
0.089859,3
0.089859,3
0.089859,2
0.089859,3
0.089859,3
0.089859,2
0.092467,2
0.092467,3
0.092467,3
0.092467,3
0.092467,3
0.092467,3
0.095178,2
0.095178,3
0.095178,3
0.095178,3
0.095178,3
0.095178,3
0.095178,3
0.095178,3
0.095178,3
0.097713,2
0.097713,3
0.097713,3
0.097713,3
0.097713,3
0.097713,3
0.097713,3
0.100513,2
0.100513,3
0.100513,3
0.100513,3
0.100513,3
0.100513,3
0.100513,3
0.100513,3
0.103065,3
0.103065,3
0.103065,3
0.103065,3
0.103065,3
0.103065,3
0.103065,3
0.103065,3
0.103065,3
0.103065,3
0.105762,2
0.105762,3
0.105762,3
0.105762,3
0.105762,3
0.105762,3
0.105762,3
0.105762,3
0.108487,3
0.108487,3
0.108487,3
0.108487,3
0.108487,3
0.108487,3
0.108487,3
0.111003,3
0.111003,3
0.111003,3
0.111003,3
0.111003,3
0.111003,3
0.111003,3
0.111003,3
0.111003,3
0.113509,3
0.113509,3
0.113509,3
0.113509,3
0.113509,3
0.113509,3
0.113509,3
0.113509,3
0.116022,3
0.116022,3
0.116022,3
0.116022,3
0.116022,3
0.116022,3
0.116022,3
0.116022,3
0.118951,3
0.118951,3
0.118951,3
0.118951,3
0.118951,3
0.118951,3
0.118951,3
0.121814,3
0.121814,3
0.121814,3
0.121814,3
0.121814,3
0.121814,4
0.124651,3
0.124651,4
0.124651,4
0.124651,3
0.124651,3
0.127732,3
0.127732,4
0.127732,4
0.127732,4
0.130477,3
0.130477,4
0.130477,4
0.130477,4
0.130477,4
0.133632,3
0.133632,4
0.133632,4
0.133632,4
0.133632,4
0.137441,4
0.137441,4
0.137441,4
0.140051,3
0.140051,4
0.140051,4
0.143016,3
0.143016,4
0.143016,4
0.143016,4
0.146376,3
0.146376,4
0.146376,4
0.149188,3
0.149188,4
0.149188,4
0.152154,3
0.152154,4
0.152154,4
0.160089,4
0.160089,4
0.160089,4
0.169928,4
0.169928,4
0.169928,4
0.169928,4
0.180527,4
0.180527,4
0.180527,4
0.188663,4
0.188663,4
0.188663,4
0.198916,4
0.198916,4
0.198916,4
0.211835,4
0.211835,4
0.211835,4
0.211835,3
0.222558,4
0.222558,4
0.230971,3
0.230971,4
0.230971,3
0.241181,3
0.241181,3
0.241181,3
0.252627,3
0.252627,3
0.252627,3
0.267752,3
0.267752,3
0.289499,3
0.289499,3
0.301266,3
0.301266,3
0.311668,3
0.311668,3
0.332466,3
0.332466,3
0.345402,3
0.345402,3
0.356487,3
0.356487,3
0.369009,3
0.369009,3
0.386519,3
0.386519,3
0.408413,3
0.408413,3
0.428503,3
0.428503,3
0.440099,3
0.440099,3
0.449396,3
0.449396,3
0.460237,3
0.460237,3
0.477448,3
0.477448,3
0.49179,3
0.49179,3
0.499856,3
0.499856,3
0.509858,3
0.509858,3
0.519642,3
0.519642,3
0.52762,3
0.52762,3
0.52762,3
0.542675,3
0.542675,3
0.55921,3
0.55921,3
0.580627,3
0.580627,3
0.598468,3
0.598468,3
0.611595,3
0.611595,3
0.630265,3
0.630265,3
0.641633,3
0.641633,3
0.651849,3
0.651849,3
0.665549,3
0.665549,3
0.687207,3
0.687207,3
0.696938,3
0.696938,3
0.709311,3
0.709311,3
0.717324,3
0.717324,3
0.73922,3
0.73922,3
0.73922,3
0.750179,3
0.750179,3
0.750179,3
0.760228,3
0.760228,3
0.760228,3
0.768934,3
0.768934,3
0.768934,3
0.783031,3
0.783031,3
0.800432,3
0.800432,3
0.809521,3
0.809521,3
0.809521,3
0.819981,3
0.819981,3
0.819981,3
0.849781,3
0.849781,3
0.849781,3
0.861212,3
0.861212,3
0.861212,3
0.875806,3
0.875806,3
0.894258,3
0.894258,3
0.906192,3
0.906192,3
0.930654,3
0.930654,3
0.930654,3
0.942595,3
0.942595,4
0.942595,3
0.953204,3
0.953204,3
0.953204,3
0.968508,3
0.968508,3
0.97981,3
0.97981,3
1.006079,3
1.006079,3
1.006079,3
1.017923,3
1.017923,3
1.017923,3
1.030821,3
1.030821,3
1.051611,3
1.051611,3
1.051611,3
1.06575,3
1.06575,3
1.075575,3
1.075575,3
1.105375,3
1.105375,3
1.112834,3
1.112834,3
1.112834,3
1.125932,3
1.125932,3
1.147833,3
1.147833,3
1.147833,3
1.158899,3
1.158899,3
1.158899,3
1.178387,3
1.178387,3
1.187193,3
1.187193,3
1.212533,3
1.212533,3
1.212533,3
1.223907,3
1.223907,3
1.223907,3
1.246253,3
1.246253,3
1.25493,3
1.25493,4
1.270638,3
1.270638,3
1.283661,3
1.283661,3
1.305363,3
1.305363,3
1.313281,3
1.313281,3
1.3224,3
1.3224,4
1.343197,3
1.343197,4
1.351098,3
1.351098,3
1.351098,3
1.380898,3
1.380898,3
1.388424,3
1.388424,3
1.388424,3
1.411087,3
1.411087,4
1.421784,3
1.421784,4
1.421784,4
1.438775,3
1.438775,4
1.450012,3
1.450012,4
1.459723,3
1.459723,4
1.459723,4
1.469664,3
1.469664,4
1.469664,4
1.481074,3
1.481074,4
1.489586,3
1.489586,4
1.504937,3
1.504937,4
1.515925,3
1.515925,4
1.515925,4
1.526799,3
1.526799,4
1.536994,3
1.536994,4
1.549136,3
1.549136,4
1.558303,3
1.558303,4
