time_or_frame,value
0,9
0,7
0,7
0,7
0,7
0,7
0.000221,7
0.000221,7
0.000221,7
0.000221,7
0.000403,7
0.000403,7
0.000403,7
0.000403,7
0.00059,7
0.00059,7
0.00059,7
0.00059,7
0.00059,7
0.000779,7
0.000779,7
0.000779,7
0.000779,7
0.000779,7
0.000963,7
0.000963,7
0.000963,7
0.000963,7
0.000963,7
0.000963,7
0.001175,7
0.001175,7
0.001175,7
0.001175,7
0.001352,7
0.001352,7
0.001352,7
0.001352,7
0.001352,7
0.001536,7
0.001536,7
0.001536,7
0.001536,7
0.001536,7
0.001536,7
0.001745,7
0.001745,7
0.001745,7
0.001745,7
0.001745,7
0.001745,7
0.001745,7
0.001933,7
0.001933,7
0.001933,7
0.001933,7
0.001933,7
0.001933,7
0.002156,7
0.002156,7
0.002156,7
0.002156,7
0.002334,7
0.002334,7
0.002334,7
0.002334,7
0.002334,7
0.002334,7
0.002334,7
0.002564,7
0.002564,7
0.002564,7
0.002564,7
0.002564,7
0.002564,7
0.002745,7
0.002745,7
0.002745,7
0.002745,7
0.002745,7
0.002745,7
0.002745,7
0.002952,7
0.002952,7
0.002952,7
0.002952,7
0.002952,7
0.002952,7
0.003149,7
0.003149,7
0.003149,7
0.003149,7
0.003149,7
0.003149,7
0.003385,7
0.003385,7
0.003385,7
0.003385,7
0.003385,7
0.003385,7
0.003385,7
0.003622,7
0.003622,7
0.003622,7
0.003622,7
0.003622,7
0.003622,7
0.003622,7
0.003873,7
0.003873,7
0.003873,7
0.003873,7
0.003873,7
0.003873,7
0.004052,7
0.004052,7
0.004052,7
0.004052,7
0.004052,7
0.004052,7
0.004052,7
0.004052,7
0.004291,7
0.004291,7
0.004291,7
0.004291,7
0.004291,7
0.004291,7
0.004291,7
0.004534,7
0.004534,7
0.004534,7
0.004534,7
0.004534,7
0.004534,7
0.004731,7
0.004731,7
0.004731,7
0.004731,7
0.004731,7
0.004731,7
0.004731,7
0.004996,7
0.004996,7
0.004996,7
0.004996,7
0.004996,7
0.004996,7
0.004996,7
0.005199,7
